2026-06-13 18:51:57.785831: [training]
2026-06-13 19:23:58.521428: iter: [85/300], train_loss: 0.270046, valid_loss: 0.033585, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:24:21.209709: iter: [86/300], train_loss: 0.263707, valid_loss: 0.027517, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:24:43.884829: iter: [87/300], train_loss: 0.285034, valid_loss: 0.029801, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:25:06.544271: iter: [88/300], train_loss: 0.273848, valid_loss: 0.037297, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:25:29.247744: iter: [89/300], train_loss: 0.259026, valid_loss: 0.028930, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:25:51.924685: iter: [90/300], train_loss: 0.254700, valid_loss: 0.039478, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:26:14.596730: iter: [91/300], train_loss: 0.260335, valid_loss: 0.027980, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:26:37.288798: iter: [92/300], train_loss: 0.260345, valid_loss: 0.033745, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:26:59.953835: iter: [93/300], train_loss: 0.261328, valid_loss: 0.029676, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:27:22.637386: iter: [94/300], train_loss: 0.263604, valid_loss: 0.033856, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:27:45.316027: iter: [95/300], train_loss: 0.250349, valid_loss: 0.033527, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:28:07.949902: iter: [96/300], train_loss: 0.245874, valid_loss: 0.027261, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:28:30.647826: iter: [97/300], train_loss: 0.244720, valid_loss: 0.029680, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:28:53.296977: iter: [98/300], train_loss: 0.251252, valid_loss: 0.027271, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:29:15.927118: iter: [99/300], train_loss: 0.254218, valid_loss: 0.031125, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:29:38.593053: iter: [100/300], train_loss: 0.267130, valid_loss: 0.033674, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:30:01.268957: iter: [101/300], train_loss: 0.255002, valid_loss: 0.027280, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:30:23.901036: iter: [102/300], train_loss: 0.252645, valid_loss: 0.029032, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:30:46.543309: iter: [103/300], train_loss: 0.250049, valid_loss: 0.028939, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:31:09.183621: iter: [104/300], train_loss: 0.252055, valid_loss: 0.044311, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:31:31.786702: iter: [105/300], train_loss: 0.278535, valid_loss: 0.029792, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:31:54.389923: iter: [106/300], train_loss: 0.254449, valid_loss: 0.027679, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:32:16.967329: iter: [107/300], train_loss: 0.252732, valid_loss: 0.029776, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:32:39.542679: iter: [108/300], train_loss: 0.253613, valid_loss: 0.027666, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:33:02.113738: iter: [109/300], train_loss: 0.244815, valid_loss: 0.031667, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:33:24.660921: iter: [110/300], train_loss: 0.250883, valid_loss: 0.032257, best_valid_loss: 0.027189, lr: 0.00100
2026-06-13 19:33:47.574448: iter: [111/300], train_loss: 0.240550, valid_loss: 0.025761, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:34:10.140680: iter: [112/300], train_loss: 0.249933, valid_loss: 0.033149, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:34:32.731672: iter: [113/300], train_loss: 0.249705, valid_loss: 0.027568, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:34:55.296757: iter: [114/300], train_loss: 0.263887, valid_loss: 0.026651, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:35:17.876446: iter: [115/300], train_loss: 0.254797, valid_loss: 0.032119, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:35:40.482348: iter: [116/300], train_loss: 0.256723, valid_loss: 0.026201, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:36:03.093062: iter: [117/300], train_loss: 0.249836, valid_loss: 0.031322, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:36:25.695878: iter: [118/300], train_loss: 0.249583, valid_loss: 0.031623, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:36:48.379261: iter: [119/300], train_loss: 0.243418, valid_loss: 0.026322, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:37:11.008342: iter: [120/300], train_loss: 0.247197, valid_loss: 0.029569, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:37:33.574683: iter: [121/300], train_loss: 0.242607, valid_loss: 0.036298, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:37:56.164928: iter: [122/300], train_loss: 0.241991, valid_loss: 0.027449, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:38:18.766175: iter: [123/300], train_loss: 0.252845, valid_loss: 0.032922, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:38:41.403475: iter: [124/300], train_loss: 0.244946, valid_loss: 0.029890, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:39:04.010773: iter: [125/300], train_loss: 0.245647, valid_loss: 0.033401, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:39:26.639211: iter: [126/300], train_loss: 0.242435, valid_loss: 0.034164, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:39:49.189462: iter: [127/300], train_loss: 0.239708, valid_loss: 0.027776, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:40:11.737690: iter: [128/300], train_loss: 0.245548, valid_loss: 0.029935, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:40:34.296850: iter: [129/300], train_loss: 0.240576, valid_loss: 0.029857, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:40:56.772397: iter: [130/300], train_loss: 0.239620, valid_loss: 0.029160, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:41:19.277863: iter: [131/300], train_loss: 0.240772, valid_loss: 0.027909, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:41:41.797031: iter: [132/300], train_loss: 0.237663, valid_loss: 0.025957, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:42:04.330076: iter: [133/300], train_loss: 0.239429, valid_loss: 0.031883, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:42:26.864427: iter: [134/300], train_loss: 0.235669, valid_loss: 0.025889, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:42:49.442684: iter: [135/300], train_loss: 0.237386, valid_loss: 0.028613, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:43:11.983413: iter: [136/300], train_loss: 0.241675, valid_loss: 0.027239, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:43:34.542933: iter: [137/300], train_loss: 0.236708, valid_loss: 0.026794, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:43:57.111964: iter: [138/300], train_loss: 0.249502, valid_loss: 0.030007, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:44:19.683831: iter: [139/300], train_loss: 0.238561, valid_loss: 0.032109, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:44:42.272326: iter: [140/300], train_loss: 0.245594, valid_loss: 0.026945, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:45:04.915133: iter: [141/300], train_loss: 0.239712, valid_loss: 0.035699, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:45:27.515227: iter: [142/300], train_loss: 0.239944, valid_loss: 0.027554, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:45:50.183370: iter: [143/300], train_loss: 0.238379, valid_loss: 0.027320, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:46:12.811591: iter: [144/300], train_loss: 0.240464, valid_loss: 0.037528, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:46:35.470289: iter: [145/300], train_loss: 0.237313, valid_loss: 0.028810, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:46:58.095355: iter: [146/300], train_loss: 0.247758, valid_loss: 0.031524, best_valid_loss: 0.025761, lr: 0.00100
2026-06-13 19:47:21.010953: iter: [147/300], train_loss: 0.238940, valid_loss: 0.025569, best_valid_loss: 0.025569, lr: 0.00100
2026-06-13 19:47:43.562502: iter: [148/300], train_loss: 0.233911, valid_loss: 0.028205, best_valid_loss: 0.025569, lr: 0.00100
2026-06-13 19:48:06.108168: iter: [149/300], train_loss: 0.233562, valid_loss: 0.029654, best_valid_loss: 0.025569, lr: 0.00100
2026-06-13 19:48:28.656591: iter: [150/300], train_loss: 0.233192, valid_loss: 0.036876, best_valid_loss: 0.025569, lr: 0.00010
2026-06-13 19:48:51.513223: iter: [151/300], train_loss: 0.227776, valid_loss: 0.024966, best_valid_loss: 0.024966, lr: 0.00010
2026-06-13 19:49:14.372513: iter: [152/300], train_loss: 0.226822, valid_loss: 0.024869, best_valid_loss: 0.024869, lr: 0.00010
2026-06-13 19:49:36.887239: iter: [153/300], train_loss: 0.225819, valid_loss: 0.024949, best_valid_loss: 0.024869, lr: 0.00010
2026-06-13 19:49:59.423480: iter: [154/300], train_loss: 0.225580, valid_loss: 0.025070, best_valid_loss: 0.024869, lr: 0.00010
2026-06-13 19:50:21.992031: iter: [155/300], train_loss: 0.224538, valid_loss: 0.025281, best_valid_loss: 0.024869, lr: 0.00010
2026-06-13 19:50:44.887740: iter: [156/300], train_loss: 0.225839, valid_loss: 0.024740, best_valid_loss: 0.024740, lr: 0.00010
2026-06-13 19:51:07.483869: iter: [157/300], train_loss: 0.223171, valid_loss: 0.025039, best_valid_loss: 0.024740, lr: 0.00010
2026-06-13 19:51:30.076719: iter: [158/300], train_loss: 0.224388, valid_loss: 0.025022, best_valid_loss: 0.024740, lr: 0.00010
2026-06-13 19:51:52.670661: iter: [159/300], train_loss: 0.224527, valid_loss: 0.025339, best_valid_loss: 0.024740, lr: 0.00010
2026-06-13 19:52:15.642540: iter: [160/300], train_loss: 0.223545, valid_loss: 0.024726, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:52:38.269474: iter: [161/300], train_loss: 0.225384, valid_loss: 0.025622, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:53:00.841708: iter: [162/300], train_loss: 0.224640, valid_loss: 0.026790, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:53:23.437235: iter: [163/300], train_loss: 0.224222, valid_loss: 0.025056, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:53:45.997680: iter: [164/300], train_loss: 0.223317, valid_loss: 0.025097, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:54:08.536868: iter: [165/300], train_loss: 0.222886, valid_loss: 0.025071, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:54:31.066947: iter: [166/300], train_loss: 0.221860, valid_loss: 0.024991, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:54:53.584875: iter: [167/300], train_loss: 0.225145, valid_loss: 0.025517, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:55:16.096686: iter: [168/300], train_loss: 0.222723, valid_loss: 0.024738, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:55:38.629551: iter: [169/300], train_loss: 0.223577, valid_loss: 0.025049, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:56:01.103882: iter: [170/300], train_loss: 0.223756, valid_loss: 0.025211, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:56:23.639105: iter: [171/300], train_loss: 0.223173, valid_loss: 0.025032, best_valid_loss: 0.024726, lr: 0.00010
2026-06-13 19:56:46.532243: iter: [172/300], train_loss: 0.221987, valid_loss: 0.024631, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:57:09.106657: iter: [173/300], train_loss: 0.222251, valid_loss: 0.025372, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:57:31.686595: iter: [174/300], train_loss: 0.222801, valid_loss: 0.026130, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:57:54.304736: iter: [175/300], train_loss: 0.223137, valid_loss: 0.024952, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:58:16.910647: iter: [176/300], train_loss: 0.223244, valid_loss: 0.024852, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:58:39.577511: iter: [177/300], train_loss: 0.222628, valid_loss: 0.025233, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:59:02.193740: iter: [178/300], train_loss: 0.221636, valid_loss: 0.024984, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:59:24.835628: iter: [179/300], train_loss: 0.222537, valid_loss: 0.025197, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 19:59:47.465267: iter: [180/300], train_loss: 0.226269, valid_loss: 0.027032, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:00:10.111247: iter: [181/300], train_loss: 0.222249, valid_loss: 0.024940, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:00:32.723452: iter: [182/300], train_loss: 0.223291, valid_loss: 0.024747, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:00:55.320439: iter: [183/300], train_loss: 0.223946, valid_loss: 0.027454, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:01:17.922856: iter: [184/300], train_loss: 0.222184, valid_loss: 0.024714, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:01:40.555885: iter: [185/300], train_loss: 0.221581, valid_loss: 0.025266, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:02:03.198222: iter: [186/300], train_loss: 0.221955, valid_loss: 0.025069, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:02:25.843412: iter: [187/300], train_loss: 0.224047, valid_loss: 0.025163, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:02:48.421946: iter: [188/300], train_loss: 0.223782, valid_loss: 0.024659, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:03:11.052681: iter: [189/300], train_loss: 0.221054, valid_loss: 0.024747, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:03:33.650628: iter: [190/300], train_loss: 0.222414, valid_loss: 0.026697, best_valid_loss: 0.024631, lr: 0.00010
2026-06-13 20:03:56.593361: iter: [191/300], train_loss: 0.222076, valid_loss: 0.024567, best_valid_loss: 0.024567, lr: 0.00010
2026-06-13 20:04:19.186993: iter: [192/300], train_loss: 0.221199, valid_loss: 0.025049, best_valid_loss: 0.024567, lr: 0.00010
2026-06-13 20:04:41.801525: iter: [193/300], train_loss: 0.221225, valid_loss: 0.025102, best_valid_loss: 0.024567, lr: 0.00010
2026-06-13 20:05:04.407523: iter: [194/300], train_loss: 0.221342, valid_loss: 0.024609, best_valid_loss: 0.024567, lr: 0.00010
2026-06-13 20:05:27.016875: iter: [195/300], train_loss: 0.222692, valid_loss: 0.025533, best_valid_loss: 0.024567, lr: 0.00010
2026-06-13 20:05:49.988356: iter: [196/300], train_loss: 0.221648, valid_loss: 0.024513, best_valid_loss: 0.024513, lr: 0.00010
2026-06-13 20:06:12.581173: iter: [197/300], train_loss: 0.222425, valid_loss: 0.026236, best_valid_loss: 0.024513, lr: 0.00010
2026-06-13 20:06:35.206762: iter: [198/300], train_loss: 0.221333, valid_loss: 0.025640, best_valid_loss: 0.024513, lr: 0.00010
2026-06-13 20:06:57.820353: iter: [199/300], train_loss: 0.221818, valid_loss: 0.025248, best_valid_loss: 0.024513, lr: 0.00010
